code,link,name,site,tags
43ADD99BE2CE05BE9FFD,https://www.udemy.com/course/android-malware-analysis-from-zero-to-hero/?couponCode=43ADD99BE2CE05BE9FFD&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Android Malware Analysis – From Zero to Hero,SmartyBro,"Android Development,Development,Programming"
LAUNCH2020FREE,https://www.udemy.com/course/the-beginners-guide-to-c/?couponCode=LAUNCH2020FREE&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,The Beginner’s Guide to C#,SmartyBro,"c#,Development,Programming"
REPUTATION,https://www.udemy.com/course/wordpress-e-com-mastery-build-your-own-pod-business/?couponCode=REPUTATION&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,WordPress + E-Com Mastery: Build Your Own POD Business,SmartyBro,"Business,Development,Ecommerce Website,SEO,Wordpress Website"
FREE2020G,https://www.udemy.com/course/the-mavericks-guide-to-achieving-powerful-goals/?couponCode=FREE2020G,Achieving Powerful Goals – The Maverick’s Goal Setting Guide,RealDiscount,
1EECA78CC9745EDC9B10,https://www.udemy.com/course/drive-sales-conversions-with-facebook-ads-complete-guide-ppc-roi-fb/?couponCode=1EECA78CC9745EDC9B10,Drive Sales & Conversions With Facebook Ads: Complete Guide!,RealDiscount,
LAUNCH-CODE,https://www.udemy.com/course/speaking-masterclass/?couponCode=LAUNCH-CODE,Secrets of Speaking English: OPIc Masterclass,RealDiscount,
JUNETHR2020,https://www.udemy.com/course/google-data-studio-by-starttech/?couponCode=JUNETHR2020&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Google Data Studio A-Z for Data Visualization and Dashboards,SmartyBro,"Business,Data Visualization,Google Data"
FREE-JAVA,https://www.udemy.com/course/practical-java-programming-practices-120-common-projects/?couponCode=FREE-JAVA&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Practical Java programming practices (120+ common projects),SmartyBro,"Development,Java,Programming"
JUNEFIR2020,https://www.udemy.com/course/linear-regression-and-logistic-regression-r-studio-starttech/?couponCode=JUNEFIR2020&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Linear Regression and Logistic Regression using R Studio,SmartyBro,"Development,Programming,R Studio"
52F043106F2FB4020262,https://www.udemy.com/course/speakthaifaster/?couponCode=52F043106F2FB4020262,Learn speak Thai faster and easier,RealDiscount,
875103DD36A137239052,https://www.udemy.com/course/verkaufsstarke-webinare-mit-webinaris/?couponCode=875103DD36A137239052,Marketing Automatisierung mit Webinaris,RealDiscount,
JUNE2020,https://www.udemy.com/course/20-advance-excel-tools-mastery-course/?couponCode=JUNE2020,Top Microsoft Excel Tools Mastery Course (Advance 20 Tools),RealDiscount,"Excel,Excel course,Excel formulas,Excel microsoft excel,Excel online,Excel spreadsheet,Excel tutorial,Excel tutorials,Excel vba,learn Excel,learn Excel online"
JUNFR1,https://www.udemy.com/course/micro-course-on-npv-and-irr/?couponCode=JUNFR1,Online Course on NPV and IRR,RealDiscount,
FREE2020G,https://www.udemy.com/course/intro-to-building-blockchain-apps-hyperledger-fabric-20/?couponCode=FREE2020G,Intro to Building Blockchain Apps: Hyperledger Fabric 2.0,RealDiscount,
N/A,https://www.udemy.com/course/web-application-hacking-penetration-testing-bug-bounty/?&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Web Application Hacking /Penetration Testing & Bug Bounty,SmartyBro,"Bug Bounty,Hacking,IT & Software,Penetration,Web APplication"
529A4FA5C1824D8C5D54,https://www.udemy.com/course/ms-excel-for-beginners-fast-track-training/?couponCode=529A4FA5C1824D8C5D54&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,MS Excel For Beginners: Fast Track Training,SmartyBro,"Excel,Office Productivity"
N/A,https://www.udemy.com/course/machine-learning-and-data-science-using-python-r/?&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Machine Learning and Data Science using Python & R,SmartyBro,"Data Science,IT & Software,Machine Learning,Python,R Programming"
FREE4U,https://www.udemy.com/course/directsearch/?couponCode=FREE4U&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Optimization Using Pattern Search Method: MATLAB Programming,SmartyBro,"IT & Software,MATLAB"
7E539979772157B82E05,https://www.udemy.com/course/microsoft-windows-server-2016-hands-on-training-part-ii/?couponCode=7E539979772157B82E05&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Microsoft Windows Server 2016 – Hands-on Training Part II,SmartyBro,"Development,IT & Software,Microsoft Widows"
N/A,https://www.udemy.com/course/data-science-hands-on-1-hour-project-on-deep-learning/?&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Data Science: Hands-On 1 Hour Project On Deep Learning,SmartyBro,"Data Science,Deep Learning,IT & Software"
STAY-SAFE,https://www.udemy.com/course/the-complete-php-full-stack-web-developer-bootcamp/?couponCode=STAY-SAFE&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,The Complete 2020 PHP Full Stack Web Developer Bootcamp,SmartyBro,"CSS,Development,HTML,Javascript,PHP,Programming,Web Development"
N/A,https://www.udemy.com/course/gsuite-apps-script/?&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Create HTML Email from DOC template JSON endpoint Sheet data,SmartyBro,"Development,HTML,JSON,Programming"
EXPIRESJUNE20,https://www.udemy.com/course/real-estate-investing-foreclosures/?couponCode=EXPIRESJUNE20,"Real Estate Investing: Foreclosures, Flipping Houses Profits [Updated]",RealDiscount,
FREE2020G,https://www.udemy.com/course/intro-to-building-blockchain-apps-hyperledger-fabric-20/?couponCode=FREE2020G&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Intro to Building Blockchain Apps: Hyperledger Fabric 2.0,SmartyBro,"Blockchain,Hyperledger,IT & Software"
C8F8BA2446D034AF52F6,https://www.udemy.com/course/liderazgo-en-tecnologia/?couponCode=C8F8BA2446D034AF52F6,Liderazgo en Equipos de Tecnología,RealDiscount,
GET-PYTHON,https://www.udemy.com/course/practical-python-bootcamp-build-100-real-projects/?couponCode=GET-PYTHON&deal_code=JUNESAVINGS2020&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Complete python bootcamp! Build real world projects in 2020,SmartyBro,"Development,Programming,Python"
